T23,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
24,Angola,2004,Threatened Species: Vertebrates (number),44.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2010,Threatened Species: Vertebrates (number),77.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2016,Threatened Species: Vertebrates (number),99.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2017,Threatened Species: Vertebrates (number),103.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2018,Threatened Species: Vertebrates (number),108.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2019,Threatened Species: Vertebrates (number),111.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2020,Threatened Species: Vertebrates (number),117.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2004,Threatened Species: Invertebrates (number),6.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2010,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2016,Threatened Species: Invertebrates (number),9.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2017,Threatened Species: Invertebrates (number),9.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2018,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2019,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2020,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2004,Threatened Species: Plants (number),26.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2010,Threatened Species: Plants (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
24,Angola,2016,Threatened Species: Plants (number),34.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
